gender,mode,acc_phon,phr_phon,fin_phon,l_grand_mean_t,h_grand_mean_t,l_f0_z,h_f0_z,f0_exc_z,lh_slope
F,MYN,L*H,% >H* L*H L%,L%,108,248,-1.0258007117437733,1.4771648873072387,2.502965599051012,75.173
F,MYN,L*^[H],% >H* L*^[H] %,%,104,246,-0.877520759193358,1.901245551601424,2.778766310794782,83.506
F,MYN,L*H,% (*) L*H %,%,119,351,-1.2067022538552796,1.2428825622775808,2.4495848161328606,43.106
F,MYN,L*H,% (*) L*H L%,L%,113,323,-1.0791814946619205,1.100533807829181,2.1797153024911013,40.838
F,MYN,L*H,% (*) L*H %,%,106,331,-1.2304270462633455,1.3496441281138796,2.580071174377225,44.826
F,MYN,L*H,% (*) L*H L%,L%,101,328,-1.1444246737841028,1.4237841043890873,2.56820877817319,45.341
F,MDC,L*H,% L*H L*H %,%,83,323,-0.8132260947274386,2.2520107238605864,3.065236818588025,36.046
F,MDC,L*H,% L*H L*H %,%,98,320,-0.835567470956213,2.2073279714030374,3.0428954423592502,39.084
F,MDC,L*H,% L*H L*H %,%,120,317,-1.224307417336912,1.3404825737265416,2.5647899910634537,36.39
F,MDC,L*H,% L*H L*H %,%,99,321,-0.9740840035746232,1.7515638963360152,2.7256478999106384,33.726
F,MDC,L*H,% L*H L*H %,%,102,308,-1.2734584450402182,1.6130473637176048,2.886505808757823,36.781
F,MDC,L*H,% (*) L*H %,%,67,246,-1.6398570151921366,1.1260053619302932,2.7658623771224295,38.475
F,MDC,L*H,% (*) L*H %,%,89,248,-1.644325290437894,0.6300268096514731,2.274352100089367,39.835
F,MDC,L*H,% (*) L*H %,%,82,261,-1.5281501340482582,1.0679177837354783,2.5960679177837367,43.733
F,MDC,L*H,% (*) L*H %,%,94,279,-1.5862377122430729,0.7685433422698833,2.354781054512956,36.725
F,MDC,L*H,% (*) L*H %,%,75,254,-1.5370866845397666,0.9204647006255595,2.457551385165326,39.865
F,MDC,L*H,% L*H L*H %,%,50,334,-1.2511170688114375,1.8588025022341361,3.1099195710455736,29.738
F,MDC,L*H,% >H* L*H %,%,57,323,-1.55495978552279,1.0857908847184954,2.6407506702412853,25.026
F,MDC,L*H,% >H* L*H %,%,97,388,-1.3941018766756053,1.443252904378905,2.8373547810545103,29.993
F,MDC,L*H,% H* L*H %,%,79,408,-1.3315460232350331,1.0857908847184954,2.4173369079535285,22.345
F,MDC,L*H,% >H* L*H %,%,87,328,-1.4879356568364603,0.3798033958891842,1.8677390527256446,19.822
F,MDQ,L*^[H],% (*) L*^[H] %,%,53,273,-0.6478999106344964,3.5835567470956193,4.231456657730115,59.614
F,MDQ,L*^[H],% (*) L*^[H L%],%,93,293,-0.33065236818588434,3.6907953529937405,4.021447721179625,61.784
F,MDQ,L*^[H],% (*) L*^[H L%],%,57,276,-0.504915102770335,3.775692582663093,4.280607685433428,55.56
F,MDQ,L*H,% L*H L*H %,%,67,289,-0.6568364611260049,2.006255585344055,2.6630920464700596,32.656
F,MDQ,^[L*H],% (*) ^[L*H L%],%,88,276,0.5317247542448604,4.47274352100089,3.9410187667560295,61.002
F,MDQ,^[L*H],% (*) ^[L*H] %,%,60,265,-0.8713136729222533,3.5120643431635385,4.383378016085792,66.783
F,MDQ,L*H,% (*) L*H %,%,83,227,-1.076854334226987,2.4352100089365516,3.5120643431635385,70.986
F,MDQ,L*H,% (*) L*H %,%,78,223,-0.7015192135835601,2.5513851653261814,3.2529043789097414,61.044
F,MDQ,L*H,% (*) L*H %,%,77,251,-0.8445040214477214,2.752457551385164,3.5969615728328854,63.209
F,MDQ,L*H,% (*) L*H %,%,52,229,-0.46023235031277976,2.846291331546019,3.3065236818587986,58.686
F,MDQ,L*^[H],% >H* L*^[H] %,%,42,338,-0.8489722966934788,3.3333333333333304,4.182305630026809,37.716
F,MDQ,^[L*H],% >H* ^[L*H] %,%,47,356,-0.7059874888293112,3.565683646112596,4.271671134941907,36.713
F,MDQ,L*H,% (*) L*H %,%,52,310,-1.1706881143878483,2.430741733690794,3.6014298480786424,36.025
F,MDQ,^[L*H],% (*) ^[L*H] L%,L%,48,317,-0.522788203753352,2.9892761394101868,3.512064343163539,35.905
F,MDQ,L*^[H],% (*) L*^[H] %,%,44,349,-0.2502234137622888,4.142091152815012,4.3923145665773005,39.057
F,MWH,L*H,% H* (*) L*H %,%,67,324,-1.5862377122430729,2.453083109919569,4.039320822162642,48.445
F,MWH,L*H,% H* L*!H L*H %,%,72,348,-1.1081322609472761,2.515638963360141,3.623771224307417,38.408
F,MWH,L*H,% H* (*) L*H %,%,106,302,-1.3538873994638074,1.5773011617515644,2.9311885612153716,50.824
F,MWH,L*H,% H* (*) L*H %,%,116,330,-1.438784629133154,1.3449508489722926,2.783735478105447,42.435
F,MWH,L*H,% H* (*) L*H %,%,79,316,-1.4432529043789115,2.30563002680965,3.7488829311885614,46.096
F,MWH,L*H,% >H* L*H L*H %,%,86,249,-1.3583556747095649,1.546023235031275,2.90437890974084,42.406
F,MWH,L*H,% H* L*H L*H %,%,104,258,-1.4119749776586223,0.7640750670241259,2.176050044682748,39.95
F,MWH,L*H,% >H* L*H L*H %,%,99,283,-0.9964253798033976,0.9874888293118829,1.9839142091152806,32.166
F,MWH,L*H,% >H* L*H L*H %,%,81,248,-1.0902591599642528,1.0142984807864146,2.1045576407506674,34.741
F,MWH,L*H,% H* L*H L*H %,%,83,241,-1.5862377122430729,0.9025915996425362,2.488829311885609,45.415
F,MWH,L*H,% H* (*) L*H %,%,91,370,-1.4924039320822178,1.6845397676496854,3.176943699731903,35.295
F,MWH,L*H,% H* (*) L*H %,%,115,358,-1.6309204647006281,1.0991957104557613,2.7301161751563896,32.993
F,MWH,L*H,% >H* (*) L*H %,%,86,318,-1.6085790884718536,0.822162645218947,2.430741733690801,27.796
F,MWH,L*H,% H* (*) L*H %,%,96,353,-1.4968722073279752,0.7640750670241259,2.260947274352101,23.584
F,MWH,L*H,% (*) (*) L*H %,%,86,312,-1.4119749776586223,0.737265415549594,2.1492403932082165,25.449
F,MYN,L*H,% L*H L*H %,%,126,320,-1.541554959785524,1.1260053619302932,2.6675603217158175,38.692
F,MYN,L*H,% L*H L*H %,%,126,296,-1.8588025022341361,0.9696157283288658,2.8284182305630017,52.468
F,MYN,L*H,% (*) L*H %,%,114,313,-1.6979445933869515,0.9562109025915999,2.6541554959785514,33.758
F,MYN,L*H,% (*) L*H %,%,122,329,-1.6398570151921366,1.0008936550491487,2.6407506702412853,35.774
F,MYN,L*H,% L*H L*H %,%,144,340,-1.671134941912426,0.3351206434316354,2.0062555853440616,32.333
F,MYN,L*H,% (*) L*H %,%,104,247,-0.12064343163539332,2.3771224307417307,2.497765862377124,47.855
F,MYN,L*H,% (*) L*H %,%,108,284,-0.20554066130473994,2.1671134941912396,2.3726541554959795,43.735
F,MYN,L*H,% (*) L*H %,%,104,258,-0.3932082216264565,2.082216264521893,2.4754244861483494,43.8
F,MYN,L*H,% (*) L*H %,%,74,271,-0.5272564789991094,1.8051831992850724,2.3324396782841816,28.909
F,MYN,L*H,% (*) L*H %,%,80,251,-0.6702412868632708,1.7917783735478066,2.4620196604110776,41.289
F,MYN,L*H,% >H* L*H %,%,84,365,-1.0813226094727444,1.3136729222520098,2.394995531724754,23.261
F,MYN,L*H,% >H* L*H %,%,71,363,-0.7953529937444151,1.3896336014298478,2.184986595174263,17.484
F,MYN,L*H,% (*) L*H %,%,84,350,-1.2734584450402182,1.0053619302949062,2.2788203753351244,22.168
F,MYN,L*H,% (*) L*H %,%,85,380,-1.0411081322609466,0.9159964253798021,1.9571045576407486,19.797
F,MYN,L*H,% (*) L*H %,%,99,351,-1.1706881143878483,0.7283288650580856,1.8990169794459337,20.686
F,MDC,L*H,% L*H L*H %,%,87,280,-1.292800000000002,1.1039999999999963,2.396799999999998,41.59
F,MDC,L*H,% L*H L*H L%,L%,73,254,-1.0496000000000003,1.3503999999999996,2.4,43.42
F,MDC,L*H,% >H* L*H L%,L%,66,251,-1.068800000000001,1.0175999999999976,2.0863999999999985,35.667
F,MDC,L*H,% >H* L*H L%,L%,59,237,-1.0784000000000014,1.3663999999999987,2.4448,45.235
F,MDC,L*H,% >H* L*H L%,L%,75,259,-1.0848000000000002,1.215999999999999,2.3007999999999993,39.814
F,MDC,L*H,% >H* L*H %,%,83,260,-1.225600000000004,0.7167999999999983,1.9424000000000023,37.141
F,MDC,L*H,% H* L*H %,%,57,237,-1.4784000000000015,0.88,2.3584000000000014,41.161
F,MDC,L*H,% H* L*H L%,L%,81,225,-1.0496000000000003,1.027199999999998,2.076799999999998,49.198
F,MDC,L*H,% >H* L*H L%,L%,61,202,-1.145600000000004,1.2127999999999974,2.3584000000000014,54.49
F,MDC,L*H,% >H* L*H %,%,84,230,-1.2224000000000024,0.7327999999999975,1.9551999999999998,46.362
F,MDC,L*H,% >H* L*H L%,L%,93,232,-1.168000000000002,0.32,1.488000000000002,39.462
F,MDC,L*H,% >H* L*H L%,L%,89,234,-1.0784000000000014,0.37759999999999766,1.455999999999999,34.605
F,MDC,L*H,% >H* L*H L%,L%,100,226,-0.9760000000000036,0.72,1.6960000000000037,48.801
F,MDC,L*H,% >H* L*H L%,L%,90,215,-1.1840000000000008,0.4095999999999958,1.5935999999999966,45.489
F,MDC,L*H,% >H* L*H L%,L%,83,220,-1.0784000000000014,0.38079999999999925,1.4592000000000005,37.619
F,MDQ,^[L*H],% L*H ^[L*H L%],%,44,258,0.7583999999999969,3.68,2.9216000000000033,48.273
F,MDQ,^[L*H],% L*H ^[L*H] %,%,69,280,0.1983999999999969,3.2767999999999984,3.0784000000000016,49.465
F,MDQ,^[L*H],% L*H ^[L*H] %,%,41,268,1.0048000000000001,4.281599999999998,3.276799999999998,49.868
F,MDQ,L*^[H],% L*H L*^[H] %,%,68,281,0.374399999999996,4.211199999999999,3.836800000000003,59.611
F,MDQ,^[L*H],% L*H ^[L*H] %,%,57,271,1.2031999999999972,4.243199999999997,3.04,48.854
F,MDQ,^[L*H],% H* ^[L*H] L%,L%,17,194,0.12799999999999728,3.526399999999999,3.3984000000000014,63.656
F,MDQ,^[L*H],% >H* ^[L*H] %,%,37,232,0.867199999999998,3.2639999999999962,2.396799999999998,41.383
F,MDQ,^[L*H],% >H* ^[L*H] %,%,49,222,0.934399999999996,3.52,2.585600000000004,45.047
F,MDQ,^[L*H],% >H* ^[L*H] %,%,13,244,0.3519999999999982,3.926399999999999,3.5744000000000007,51.94
F,MDQ,^[L*H],% H* ^[L*H] %,%,52,230,0.7103999999999996,3.5904,2.8800000000000003,53.384
F,MDQ,^[L*H],% >H* ^[L*H] L%,L%,63,210,0.054399999999996,2.4063999999999988,2.352000000000003,53.3
F,MDQ,^[L*H],% >H* ^[L*H] L%,L%,64,212,0.17279999999999746,2.547199999999998,2.3744000000000005,52.937
F,MDQ,^[L*H],% L*H ^[L*H] L%,L%,52,198,0.5311999999999989,2.7423999999999977,2.211199999999999,47.982
F,MDQ,^[L*H],% H* ^[L*H] L%,L%,49,218,0.5567999999999984,3.0655999999999994,2.508800000000001,52.131
F,MDQ,^[L*H],% (*) ^[L*H] L%,L%,76,201,0.12799999999999728,2.0415999999999985,1.9136000000000013,50.757
F,MWH,L*H,% H* L*!H L*H %,%,53,252,-1.7024000000000024,0.6559999999999991,2.3584000000000014,38.875
F,MWH,L*H,% H* L*!H L*H %,%,59,264,-1.7312000000000034,0.32959999999999584,2.060799999999999,33.648
F,MWH,L*H,% H* L*!H L*H %,%,61,261,-1.7376000000000023,0.4479999999999973,2.1855999999999995,35.577
F,MWH,L*H,% H* L*!H L*H %,%,62,258,-1.8912000000000035,0.614399999999996,2.5055999999999994,41.127
F,MWH,L*H,% H* L*!H L*H %,%,71,262,-1.9040000000000008,0.47039999999999965,2.3744000000000005,39.701
F,MWH,L*H,% L*H L*!H L*H L%,L%,90,220,-0.972800000000002,1.4303999999999997,2.403200000000002,55.342
F,MWH,L*H,% L*H L*!H L*H L%,L%,83,209,-1.024000000000001,0.8959999999999991,1.92,51.42
F,MWH,L*H,% L*H L*!H L*H L%,L%,81,224,-0.9920000000000028,1.0048000000000001,1.996800000000003,51.194
F,MWH,L*H,% L*H L*!H L*H L%,L%,77,218,-0.9312000000000035,0.9695999999999958,1.9007999999999994,45.893
F,MWH,L*H,% L*H L*!H L*H L%,L%,76,218,-0.88,1.0591999999999961,1.939199999999996,49.728
F,MWH,L*H,% H* L*!H L*H L%,L%,82,207,-1.4336000000000013,-0.16320000000000165,1.2703999999999998,35.996
F,MWH,L*H,% H* L*!H L*H L%,L%,81,203,-1.5776000000000021,-0.1280000000000018,1.4496000000000002,37.416
F,MWH,L*H,% L*H L*!H L*H L%,L%,65,215,-1.4784000000000015,-0.19519999999999982,1.2832000000000017,34.177
F,MWH,L*H,% L*H L*!H L*H L%,L%,74,208,-1.6832000000000016,0.012799999999997454,1.695999999999999,40.313
F,MWH,L*H,% >H* (*) L*H L%,L%,67,198,-1.5072000000000025,-0.11200000000000272,1.3951999999999998,34.367
F,MYN,L*H,% L*H L*H %,%,77,273,-0.6880000000000018,1.4815999999999985,2.1696000000000004,35.261
F,MYN,L*H,% L*H L*H %,%,83,272,-1.024000000000001,1.5967999999999984,2.620799999999999,42.682
F,MYN,L*H,% L*H L*H %,%,81,273,-1.081600000000003,1.2063999999999988,2.288000000000002,37.747
